Path to image,Name of the statue,Details of the statue
Slightly broken\scul1.jpg,"A black schist sculpture with vishnu, Bhihar,Pala, 11th-12th century","The standing deity in a dynamic position with the pelvis moved to the left, four arms only partially preserved, wearing pectorals and bracelets, the hips covered by the antariya cloth fastened by a belt, on the head an imposing tiara adorned with palmettes, behind the head a circular halo. 94 cm high Provenance: Italian private collection. Together with Shiva and Bhrama, Vishnu is one of the main deities of the large Hindu pantheon, guardian of life, creator, protector and transformer of the entire universe"
Slightly broken\scul2.jpg,"Lord Shiva Dancing, Halebid, Karnataka","The sculpture of dancing Shiva in Halebid, Karnataka is located in the Hoysaleshwara temple. The sculpture is from the 12th century and is an example of ancient Indian art. The sculpture depicts Shiva dancing on the body of the demon Apasmara, which represents death."
Slightly broken\scul3.jpg,Shiva as Lord of Music (Shiva Vinadhara),"Shiva as Lord of Music (Shiva Vinadhara), Tamil Nadu, late 9th–mid-10th century. 48 1/16 × 31 1/2 × 14 in. (122 × 80 × 35.6 cm). Museum of Fine Arts, Boston, Maria Antoinette Evans Fund, 33.18. Photograph © Museum of Fine Arts, Boston"
Slightly broken\scul4.jpg,Saraswati,"This 10th-century sandstone sculpture, depicting Sarasvati, the Hindu goddess associated with speech, music, and learning, once adorned a niche in a temple, showcasing her playing the vina and holding a manuscript, while also symbolizing the sacred essence of the river Sarasvati."
Slightly broken\scul5.jpg,"Bracket figures from Jamsot, Prayagraj, UP","The bracket figures from Jamsot, Prayagraj, UP are intricately crafted sculptures that typically adorn the brackets or supports of architectural structures such as buildings, temples, or monuments. These figures often depict mythological or religious motifs, showcasing scenes from Hindu epics like the Ramayana or Mahabharata, as well as celestial beings, deities, animals, and floral patterns. With their detailed craftsmanship and symbolic significance, these bracket figures serve both decorative and spiritual purposes, adding beauty and cultural richness to the architectural landscape of Prayagraj, Uttar Pradesh."
Slightly broken\scul6.jpg,Kubera,"This magnesian schist sculpture of Kubera, the Hindu god of riches, originates from Varuna, Karnataka, circa 1050, and is part of the Nasli and Alice Heeramaneck Collection at the Museum Associates."
Slightly broken\scul7.jpg,Maitreya (Sanskrit) or Metteyya (Pali),"Maitreya (Sanskrit) or Metteyya (Pali), is a bodhisattva who is regarded as the future Buddha of this world in all schools of Buddhism, prophesied to become Maitreya Buddha or Metteyya Buddha"
Slightly broken\scul8.jpg,Vishnu,"This 12th-century Khmer bronze figure of Vishnu, measuring 14 1/8 inches (36 cm) in height, originates from the collection of Peng Seng in Bangkok, acquired on October 8th, 1965."
Slightly broken\scul9.jpg,"Standing Bodhisattva with Human-Figure Necklace, Kushan period, 2nd / 3rd century","Standing Bodhisattva with Human-Figure Necklace, Kushan period, 2nd/3rd century. Ancient region of Gandhara (modern Pakistan"
Slightly broken\scul10.jpg,Surya,"Surya (the supreme light) was the chief solar deity in Hinduism; he also represents the Sun in India and Nepal. He is one of the core elements of Hindu astrology; Surya was the chief of Navagraha and the Classical Planets. He had 3 wives; Saranyu, Yama, and Yami. From northeast India, 11th century CE. (National Museum of Scotland,"
